calories,protein,carbs,fat,fiber,sugar,sodium,cholesterol,water,cat_encoded,meal_encoded,name,category,meal_type,label_loss,label_balance,label_gain
185,15.1,5.1,16.0,0.0,2.0,300,291,100,21,0,Омлет паровой с ветчиной,Protein,Breakfast,1,1,0
197,13.7,2.2,15.5,0.0,1.7,262,293,100,21,0,Омлет паровой диетический,Protein,Breakfast,1,1,0
280,18.0,20.0,14.0,4.0,6.0,650,40,300,18,2,Борщ украинский,Meal/Soup,Lunch,0,1,1
282,17.4,22.3,14.3,3.7,5.4,666,50,300,18,2,Борщ украинский с говядиной,Meal/Soup,Lunch,0,1,1
274,19.2,20.2,14.4,3.9,6.5,634,40,300,18,2,Борщ украинский постный,Meal/Soup,Lunch,0,1,1
303,19.3,17.5,16.4,3.7,5.9,678,42,300,18,2,Борщ украинский с курицей,Meal/Soup,Lunch,0,0,1
277,18.0,19.0,14.4,3.9,5.5,635,49,300,18,2,Борщ украинский холодный,Meal/Soup,Lunch,0,1,1
295,17.1,17.1,16.7,3.6,6.4,662,47,300,18,2,Борщ украинский с салом,Meal/Soup,Lunch,0,1,1
180,10.0,15.0,9.0,5.0,4.0,580,25,300,18,2,Щи из капусты,Meal/Soup,Lunch,1,1,0
198,10.8,15.9,9.5,5.3,3.2,558,27,300,18,2,Щи из капусты из свежей капусты,Meal/Soup,Lunch,1,1,0
195,9.2,15.5,9.4,5.0,3.9,625,32,300,18,2,Щи из капусты из квашеной,Meal/Soup,Lunch,1,1,0
177,10.8,13.6,8.3,4.6,3.4,545,32,300,18,2,Щи из капусты постные,Meal/Soup,Lunch,1,1,0
208,10.8,13.1,10.7,4.8,4.2,627,31,300,18,2,Щи из капусты с мясом,Meal/Soup,Lunch,1,1,0
190,11.9,17.0,8.5,4.9,3.6,620,32,300,18,2,Щи из капусты зеленые,Meal/Soup,Lunch,1,1,0
250,14.0,12.0,16.0,2.0,3.0,950,50,250,18,2,Солянка мясная,Meal/Soup,Lunch,0,1,0
236,12.2,9.3,15.5,2.4,3.3,996,55,250,18,2,Солянка мясная сборная,Meal/Soup,Lunch,0,1,0
235,12.0,10.7,16.4,1.8,3.9,932,55,250,18,2,Солянка мясная с копченостями,Meal/Soup,Lunch,0,1,0
236,12.3,12.0,16.9,2.2,2.3,972,49,250,18,2,Солянка мясная классическая,Meal/Soup,Lunch,0,1,0
234,13.0,12.3,16.1,2.1,3.2,999,56,250,18,2,Солянка мясная рыбная,Meal/Soup,Lunch,0,1,0
150,15.0,10.0,6.0,2.0,2.0,450,30,300,18,2,Уха из судака,Meal/Soup,Lunch,1,0,0
149,16.6,8.8,6.9,1.9,2.1,407,39,300,18,2,Уха из судака классическая,Meal/Soup,Lunch,1,0,0
178,13.4,11.6,7.1,1.8,1.2,430,25,300,18,2,Уха из судака двойная,Meal/Soup,Lunch,1,1,0
158,13.6,9.5,7.4,2.0,1.1,436,29,300,18,2,Уха из судака с картофелем,Meal/Soup,Lunch,1,0,0
165,14.8,11.1,8.6,2.3,2.3,484,26,300,18,2,Уха из судака царская,Meal/Soup,Lunch,1,1,0
160,9.0,18.0,6.0,3.0,3.0,750,25,300,18,2,Рассольник,Meal/Soup,Lunch,1,0,0
161,9.2,18.9,8.5,3.3,2.1,721,24,300,18,2,Рассольник с перловкой,Meal/Soup,Lunch,1,1,0
170,10.3,20.5,6.2,3.0,2.6,751,23,300,18,2,Рассольник с рисом,Meal/Soup,Lunch,1,1,0
165,9.0,15.5,4.2,2.9,2.6,732,15,300,18,2,Рассольник постный,Meal/Soup,Lunch,1,1,0
145,10.8,20.0,6.9,3.5,4.0,786,23,300,18,2,Рассольник ленинградский,Meal/Soup,Lunch,1,0,0
220,14.0,25.0,8.0,6.0,3.0,700,35,300,13,2,Гороховый суп,Meal/Legume,Lunch,1,1,0
229,15.1,23.1,8.6,5.9,2.6,724,38,300,13,2,Гороховый суп с копченостями,Meal/Legume,Lunch,0,1,0
232,14.0,22.5,7.7,5.8,3.3,670,35,300,13,2,Гороховый суп постный,Meal/Legume,Lunch,0,1,0
221,14.0,26.0,8.0,6.3,2.1,661,35,300,13,2,Гороховый суп с сухариками,Meal/Legume,Lunch,1,1,0
213,12.5,26.6,10.3,6.3,2.0,719,39,300,13,2,Гороховый суп с сосисками,Meal/Legume,Lunch,1,1,0
120,12.0,15.0,2.0,1.0,2.0,800,30,300,18,2,Куриный бульон,Meal/Soup,Lunch,1,0,0
121,10.8,14.2,3.8,1.1,2.5,776,28,300,18,2,Куриный бульон с лапшой,Meal/Soup,Lunch,1,0,0
127,13.7,14.6,3.5,0.6,2.9,827,27,300,18,2,Куриный бульон с яйцом,Meal/Soup,Lunch,1,0,0
135,11.2,12.1,2.0,0.7,2.7,764,34,300,18,2,Куриный бульон прозрачный,Meal/Soup,Lunch,1,0,0
147,12.6,12.9,4.7,0.8,2.4,803,35,300,18,2,Куриный бульон с клецками,Meal/Soup,Lunch,1,0,0
180,6.0,15.0,10.0,3.0,3.0,450,20,250,18,2,Крем-суп грибной,Meal/Soup,Lunch,1,1,0
209,5.0,15.3,9.9,3.4,3.0,417,12,250,18,2,Крем-суп грибной из белых грибов,Meal/Soup,Lunch,1,1,0
174,7.2,14.5,12.7,3.0,3.6,436,19,250,18,2,Крем-суп грибной из шампиньонов,Meal/Soup,Lunch,1,1,0
202,6.3,16.0,12.3,2.9,3.0,442,27,250,18,2,Крем-суп грибной со сливками,Meal/Soup,Lunch,1,1,0
198,5.5,17.6,12.3,3.5,2.5,449,17,250,18,2,Крем-суп грибной с гренками,Meal/Soup,Lunch,1,1,0
110,8.0,10.0,5.0,2.0,3.0,600,15,300,18,2,Окрошка,Meal/Soup,Lunch,1,0,0
133,7.6,8.9,5.4,2.4,2.8,634,25,300,18,2,Окрошка на квасе,Meal/Soup,Lunch,1,0,0
139,8.0,7.2,5.5,2.1,3.7,606,8,300,18,2,Окрошка на кефире,Meal/Soup,Lunch,1,0,0
116,7.8,11.3,5.0,2.2,2.3,610,13,300,18,2,Окрошка классическая,Meal/Soup,Lunch,1,0,0
107,8.8,10.9,7.3,2.4,3.7,598,15,300,18,2,Окрошка вегетарианская,Meal/Soup,Lunch,1,0,0
260,16.0,15.0,15.0,2.0,4.0,800,45,300,18,2,Харчо,Meal/Soup,Lunch,0,1,0
271,17.5,14.9,15.7,2.1,3.5,837,44,300,18,2,Харчо по-грузински,Meal/Soup,Lunch,0,1,1
290,17.0,14.6,13.5,2.1,4.7,806,40,300,18,2,Харчо с бараниной,Meal/Soup,Lunch,0,1,1
275,17.6,12.3,17.0,1.8,3.7,768,42,300,18,2,Харчо острый,Meal/Soup,Lunch,0,1,1
267,16.3,16.8,13.8,1.6,4.7,829,42,300,18,2,Харчо классический,Meal/Soup,Lunch,0,1,0
140,8.0,12.0,7.0,3.0,5.0,500,20,300,18,2,Свекольник,Meal/Soup,Lunch,1,0,0
145,8.3,10.4,8.2,3.0,5.3,509,19,300,18,2,Свекольник холодный,Meal/Soup,Lunch,1,0,0
154,6.6,11.7,6.7,3.1,5.3,504,18,300,18,2,Свекольник горячий,Meal/Soup,Lunch,1,0,0
143,7.2,15.0,9.3,2.6,4.8,495,28,300,18,2,Свекольник с яйцом,Meal/Soup,Lunch,1,0,0
135,8.8,9.1,9.2,2.9,4.0,537,11,300,18,2,Свекольник постный,Meal/Soup,Lunch,1,0,0
300,15.0,35.0,12.0,3.0,4.0,700,40,300,18,2,Лагман,Meal/Soup,Lunch,0,1,0
326,16.0,37.0,14.5,3.3,3.5,695,37,300,18,2,Лагман узбекский,Meal/Soup,Lunch,0,0,0
312,15.5,36.1,13.6,3.2,4.7,730,33,300,18,2,Лагман уйгурский,Meal/Soup,Lunch,0,0,0
325,15.6,33.9,12.2,3.1,4.5,661,39,300,18,2,Лагман домашний,Meal/Soup,Lunch,0,0,0
296,14.7,33.2,13.9,3.4,3.7,714,38,300,18,2,Лагман острый,Meal/Soup,Lunch,0,1,0
380,20.0,35.0,18.0,4.0,3.0,700,75,250,14,2,Котлеты куриные,Meal/Meat,Lunch,0,0,1
402,19.0,36.9,18.4,4.3,3.5,693,68,250,14,2,Котлеты куриные жареные,Meal/Meat,Lunch,0,0,1
383,18.3,36.5,17.1,4.2,3.3,700,82,250,14,2,Котлеты куриные запеченные,Meal/Meat,Lunch,0,0,1
378,21.2,32.1,18.7,4.0,3.3,736,73,250,14,2,Котлеты куриные на пару,Meal/Meat,Lunch,0,0,1
389,21.3,37.6,16.5,3.7,2.1,721,75,250,14,2,Котлеты куриные рубленые,Meal/Meat,Lunch,0,0,1
406,18.9,32.4,20.1,4.4,2.6,702,68,250,14,2,Котлеты куриные по-киевски,Meal/Meat,Lunch,0,0,1
420,24.0,45.0,16.0,2.0,5.0,750,80,200,14,2,Бефстроганов,Meal/Meat,Lunch,0,0,1
407,25.8,43.8,16.5,1.6,5.8,717,82,200,14,2,Бефстроганов с рисом,Meal/Meat,Lunch,0,0,1
423,24.7,46.5,18.7,1.9,5.5,719,83,200,14,2,Бефстроганов с пюре,Meal/Meat,Lunch,0,0,1
433,25.3,45.7,18.7,1.8,5.4,727,84,200,14,2,Бефстроганов классический,Meal/Meat,Lunch,0,0,1
422,22.9,44.2,18.9,1.9,5.8,782,81,200,14,2,Бефстроганов с грибами,Meal/Meat,Lunch,0,0,1
450,22.0,50.0,18.0,3.0,5.0,850,60,200,16,2,Пельмени домашние,Meal/Processed,Lunch,0,0,1
433,21.1,52.8,20.7,3.3,4.2,827,70,200,16,2,Пельмени домашние отварные,Meal/Processed,Lunch,0,0,1
462,23.9,47.3,17.7,3.5,5.6,826,52,200,16,2,Пельмени домашние жареные,Meal/Processed,Lunch,0,0,1
471,22.2,50.5,20.1,2.7,5.5,900,69,200,16,2,Пельмени домашние сибирские,Meal/Processed,Lunch,0,0,1
430,23.4,47.9,16.6,2.8,4.3,884,50,200,16,2,Пельмени домашние с уткой,Meal/Processed,Lunch,0,0,1
260,14.0,25.0,12.0,4.0,6.0,650,40,200,19,2,Голубцы тушеные,Meal/Vegetable,Lunch,0,1,0
247,13.4,26.7,12.9,3.5,5.5,616,43,200,19,2,Голубцы тушеные классические,Meal/Vegetable,Lunch,0,1,0
266,15.0,24.9,13.9,4.0,5.2,664,37,200,19,2,Голубцы тушеные ленивые,Meal/Vegetable,Lunch,0,1,0
287,12.2,26.7,14.3,4.0,5.9,603,31,200,19,2,Голубцы тушеные в томатном соусе,Meal/Vegetable,Lunch,0,1,0
290,15.4,24.6,10.5,4.2,5.9,610,40,200,19,2,Голубцы тушеные постные,Meal/Vegetable,Lunch,0,1,0
220,28.0,8.0,9.0,3.0,2.0,350,55,200,12,1,Треска запеченная,Meal/Fish,Dinner,1,1,0
230,26.3,6.7,10.2,3.0,1.7,376,61,200,12,1,Треска запеченная с овощами,Meal/Fish,Dinner,0,1,1
215,28.0,7.6,11.0,2.6,2.3,398,62,200,12,1,Треска запеченная под маринадом,Meal/Fish,Dinner,1,1,0
236,26.9,7.7,8.1,2.8,1.9,353,48,200,12,1,Треска запеченная в фольге,Meal/Fish,Dinner,0,1,1
216,27.3,6.5,11.8,3.2,1.9,311,47,200,12,1,Треска запеченная с лимоном,Meal/Fish,Dinner,1,1,0
480,20.0,55.0,20.0,3.0,4.0,700,65,250,17,1,Плов с бараниной,Meal/Rice,Dinner,0,0,1
465,18.4,56.4,22.1,3.1,4.2,721,72,250,17,1,Плов с бараниной узбекский,Meal/Rice,Dinner,0,0,1
476,18.5,54.1,21.3,3.3,4.7,742,56,250,17,1,Плов с бараниной с курицей,Meal/Rice,Dinner,0,0,1
508,20.4,54.1,20.9,2.7,4.3,678,58,250,17,1,Плов с бараниной рассыпчатый,Meal/Rice,Dinner,0,0,1
478,20.2,52.7,19.4,2.7,3.9,721,74,250,17,1,Плов с бараниной с нутом,Meal/Rice,Dinner,0,0,1
390,18.0,48.0,14.0,3.0,4.0,700,55,200,15,2,Макароны по-флотски,Meal/Pasta,Lunch,0,0,1
401,18.6,45.2,16.6,3.3,3.5,673,53,200,15,2,Макароны по-флотски классические,Meal/Pasta,Lunch,0,0,1
405,17.2,47.0,12.0,3.4,4.1,701,47,200,15,2,Макароны по-флотски с фаршем индейки,Meal/Pasta,Lunch,0,0,1
377,18.5,45.2,15.7,2.7,3.8,693,50,200,15,2,Макароны по-флотски с грибами,Meal/Pasta,Lunch,0,0,1
290,16.0,22.0,14.0,3.0,5.0,650,50,200,14,1,Тефтели в соусе,Meal/Meat,Dinner,0,1,0
289,16.9,23.7,14.8,2.6,4.1,620,59,200,14,1,Тефтели в соусе в томатном соусе,Meal/Meat,Dinner,0,1,0
272,14.3,21.7,14.1,3.1,4.8,627,56,200,14,1,Тефтели в соусе в сметанном соусе,Meal/Meat,Dinner,0,1,0
276,15.7,20.7,15.4,3.0,5.3,605,47,200,14,1,Тефтели в соусе рисовые,Meal/Meat,Dinner,0,1,0
290,16.4,19.0,13.5,2.7,4.3,632,49,200,14,1,Тефтели в соусе мясные,Meal/Meat,Dinner,0,1,0
180,8.0,20.0,8.0,4.0,6.0,600,20,150,19,1,Винегрет классический,Meal/Vegetable,Dinner,1,1,0
176,6.0,21.5,6.9,3.9,6.4,614,27,150,19,1,Винегрет классический с сельдью,Meal/Vegetable,Dinner,1,1,0
202,9.2,17.4,10.3,3.5,5.0,559,20,150,19,1,Винегрет классический без картофеля,Meal/Vegetable,Dinner,1,1,0
189,8.3,21.3,8.1,3.6,5.0,591,15,150,19,1,Винегрет классический с фасолью,Meal/Vegetable,Dinner,1,1,0
200,8.5,22.0,10.6,3.6,6.7,581,23,150,19,1,Винегрет классический постный,Meal/Vegetable,Dinner,1,1,0
210,12.0,30.0,4.0,8.0,5.0,450,0,200,13,1,Фасоль тушеная,Meal/Legume,Dinner,1,1,0
219,12.1,29.4,3.6,7.8,4.7,421,0,200,13,1,Фасоль тушеная с овощами,Meal/Legume,Dinner,1,1,0
216,10.5,30.1,6.5,7.8,5.5,482,0,200,13,1,Фасоль тушеная в томате,Meal/Legume,Dinner,1,1,0
202,10.6,28.2,5.0,8.3,5.3,422,10,200,13,1,Фасоль тушеная постная,Meal/Legume,Dinner,1,1,0
215,13.0,31.6,4.2,8.4,5.1,481,9,200,13,1,Фасоль тушеная с грибами,Meal/Legume,Dinner,1,1,0
350,20.0,30.0,16.0,3.0,4.0,600,60,200,14,2,Жаркое в горшочке,Meal/Meat,Lunch,0,0,1
346,21.9,28.9,16.2,3.0,4.3,585,68,200,14,2,Жаркое в горшочке с говядиной,Meal/Meat,Lunch,0,0,1
333,20.0,28.9,16.3,2.6,4.7,559,70,200,14,2,Жаркое в горшочке с курицей,Meal/Meat,Lunch,0,0,1
373,21.4,30.7,16.5,3.0,4.1,644,51,200,14,2,Жаркое в горшочке с грибами,Meal/Meat,Lunch,0,0,1
352,21.2,30.9,15.6,3.0,3.3,557,64,200,14,2,Жаркое в горшочке классическое,Meal/Meat,Lunch,0,0,1
230,16.0,28.0,6.0,1.0,14.0,150,30,150,5,1,Запеканка творожная,Dairy/Grain,Dinner,0,1,0
215,17.6,27.1,7.6,1.0,13.3,131,34,150,5,1,Запеканка творожная с изюмом,Dairy/Grain,Dinner,0,1,0
260,16.1,28.7,5.8,1.4,13.8,199,30,150,5,1,Запеканка творожная с манкой,Dairy/Grain,Dinner,0,1,0
244,14.2,28.8,5.7,0.8,14.1,149,29,150,5,1,Запеканка творожная диетическая,Dairy/Grain,Dinner,0,1,0
223,17.4,30.8,7.0,0.7,13.2,184,24,150,5,1,Запеканка творожная с яблоками,Dairy/Grain,Dinner,0,1,1
310,22.0,25.0,15.0,2.0,2.0,550,70,200,12,1,Минтай жареный,Meal/Fish,Dinner,0,0,1
336,21.2,25.9,16.3,1.6,2.4,510,69,200,12,1,Минтай жареный в кляре,Meal/Fish,Dinner,0,0,1
318,22.6,24.0,13.6,2.2,2.9,587,76,200,12,1,Минтай жареный с луком,Meal/Fish,Dinner,0,0,1
